start,end,label,kind
2026-03-04 07:00:00,2026-03-04 07:01:30,"still in bed, phone on the nightstand",baseline
2026-03-04 07:01:30,2026-03-04 07:03:00,"up, bathroom",baseline
2026-03-04 07:03:00,2026-03-04 07:05:30,getting dressed,baseline
2026-03-04 07:05:30,2026-03-04 07:07:00,"sitting on the bed, shoes",baseline
2026-03-04 07:07:00,2026-03-04 07:09:30,"kitchen, coffee",baseline
2026-03-04 07:09:30,2026-03-04 07:11:30,standing at the counter drinking it,baseline
2026-03-04 07:11:30,2026-03-04 07:13:00,packing the bag,baseline
2026-03-04 07:13:00,2026-03-04 07:14:00,"keys, door",baseline
2026-03-04 07:14:00,2026-03-04 07:19:00,walk out to the street (warm-up),activity
2026-03-04 07:19:00,2026-03-04 07:41:00,RUN to work,activity
2026-03-04 07:41:00,2026-03-04 07:42:30,"crosswalk, stopped dead (90 s)",activity
2026-03-04 07:42:30,2026-03-04 07:52:20,RUN to work (cont.),activity
2026-03-04 07:52:20,2026-03-04 07:54:00,"arrives, walking it off",activity
2026-03-04 07:54:00,2026-03-04 07:56:00,"stairs, four flights",activity
2026-03-04 07:56:00,2026-03-04 08:02:00,across the floor to the desk,activity
2026-03-04 08:02:00,2026-03-04 08:20:00,sat down -- HR recovery curve,recovery
2026-03-04 08:20:00,2026-03-04 08:55:00,desk work,baseline
2026-03-04 08:55:00,2026-03-04 08:58:30,coffee walk,activity
2026-03-04 08:58:30,2026-03-04 09:30:00,desk work,baseline
2026-03-04 09:30:00,2026-03-04 09:33:00,E1 standup: the news is bad,stress_onset
2026-03-04 09:33:00,2026-03-04 09:38:00,E1 standup: sustained,stress_sustained
2026-03-04 09:38:00,2026-03-04 09:41:00,E1 standup: decay,recovery
2026-03-04 09:41:00,2026-03-04 10:50:00,desk work (baseline sits ~6bpm high),baseline
2026-03-04 10:50:00,2026-03-04 10:57:00,walk to the conference room,activity
2026-03-04 10:57:00,2026-03-04 11:01:00,"sat down, waiting to go on",baseline
2026-03-04 11:01:00,2026-03-04 11:05:30,E2 presentation: anticipatory ramp,stress_onset
2026-03-04 11:05:30,2026-03-04 11:12:00,E2 presentation: talking,stress_sustained
2026-03-04 11:12:00,2026-03-04 11:14:00,E2 presentation: PACING while talking,stress_sustained
2026-03-04 11:14:00,2026-03-04 11:27:20,E2 presentation: talking,stress_sustained
2026-03-04 11:27:20,2026-03-04 11:29:00,E2 presentation: the hard question,stress_onset
2026-03-04 11:29:00,2026-03-04 11:45:00,E2 presentation: decay,recovery
2026-03-04 11:45:00,2026-03-04 12:10:00,"back at the desk, decompressing",baseline
2026-03-04 12:10:00,2026-03-04 12:22:00,walk out for lunch,activity
2026-03-04 12:22:00,2026-03-04 12:50:00,eating -- postprandial drift,negative_control
2026-03-04 12:50:00,2026-03-04 13:00:00,walk back,activity
2026-03-04 13:00:00,2026-03-04 13:20:00,desk work,baseline
2026-03-04 13:20:00,2026-03-04 13:35:00,second coffee -- caffeine drift,negative_control
2026-03-04 13:35:00,2026-03-04 13:38:00,E3 small stressor (borderline),stress_onset
2026-03-04 13:38:00,2026-03-04 13:42:00,E3 decay,recovery
2026-03-04 13:42:00,2026-03-04 14:15:00,desk work,baseline
2026-03-04 14:15:00,2026-03-04 14:17:00,E4 the deadline email,stress_onset
2026-03-04 14:17:00,2026-03-04 14:21:00,E4 sustained,stress_sustained
2026-03-04 14:21:00,2026-03-04 14:28:00,E4 decay,recovery
2026-03-04 14:28:00,2026-03-04 14:48:00,desk work,baseline
2026-03-04 14:48:00,2026-03-04 14:52:00,walk to the printer,activity
2026-03-04 14:52:00,2026-03-04 15:00:00,"desk work, end of window",baseline
